outcome,term,event_time,coef,se,ci_low,ci_high,p_value,pretrend_pvalue
rate_impaired_per100k,evt_m5,-5,-0.5657936845929232,0.6900595598041535,-1.9182855689966276,0.7866981998107812,0.4122616729131061,0.12459016432638008
rate_impaired_per100k,evt_m4,-4,-0.9485877566591085,0.5940964914213392,-2.112995483186543,0.21581996986832563,0.11033488973344867,0.12459016432638008
rate_impaired_per100k,evt_m3,-3,-0.9181540495576144,0.6539932244440732,-2.199957215601218,0.3636491164859892,0.1603427271094282,0.12459016432638008
rate_impaired_per100k,evt_m2,-2,-0.44328634328197564,0.3973824605773136,-1.222141654101418,0.33556896753746684,0.26462952715811583,0.12459016432638008
rate_impaired_per100k,evt_p0,0,-0.7117423263896541,0.599751035566611,-1.8872327557908126,0.4637481030115045,0.23533428246144628,0.12459016432638008
rate_impaired_per100k,evt_p1,1,-0.20418558117413657,0.6276849463768847,-1.4344254697107857,1.0260543073625124,0.7449544309986542,0.12459016432638008
rate_impaired_per100k,evt_p2,2,-0.5863442994194337,0.6341881658950023,-1.8293302639951512,0.6566416651562839,0.35519541145198896,0.12459016432638008
rate_impaired_per100k,evt_p3,3,-0.343081108481434,0.6993158026122909,-1.7137148954212456,1.0275526784583775,0.6237126480556023,0.12459016432638008
rate_impaired_per100k,evt_p4,4,-0.22158331338835047,0.6088931825940513,-1.414992021704662,0.9718253949279612,0.7159239963287287,0.12459016432638008
rate_impaired_per100k,evt_p5,5,-0.02087443481905968,0.48490402389965653,-0.9712688576209362,0.9295199879828168,0.9656628000091109,0.12459016432638008
rate_alcohol_involved_per100k,evt_m5,-5,-0.1570383347883222,0.2648510092754121,-0.6761367742372137,0.36206010466056937,0.5532274291386831,0.20309039313472113
rate_alcohol_involved_per100k,evt_m4,-4,-0.009962409251488946,0.30835962158777647,-0.6143361618499306,0.5944113433469527,0.9742266192907304,0.20309039313472113
rate_alcohol_involved_per100k,evt_m3,-3,-0.04723164409850733,0.21637491146990648,-0.4713186777375667,0.37685538954055203,0.827206173199075,0.20309039313472113
rate_alcohol_involved_per100k,evt_m2,-2,0.17415416209680215,0.18094434677147705,-0.18049024078141926,0.5287985649750235,0.33581174369766986,0.20309039313472113
rate_alcohol_involved_per100k,evt_p0,0,-0.11970208852244779,0.14492840798843218,-0.40375654851650195,0.16435237147160636,0.40883844469288166,0.20309039313472113
rate_alcohol_involved_per100k,evt_p1,1,-0.021147396865376228,0.1503672202216371,-0.3158617329551878,0.2735669392244354,0.8881556550285523,0.20309039313472113
rate_alcohol_involved_per100k,evt_p2,2,0.028072411300713473,0.14759305583632348,-0.2612046625066898,0.3173494851081167,0.8491512851694244,0.20309039313472113
rate_alcohol_involved_per100k,evt_p3,3,0.15006611389612318,0.18901008230091,-0.22038684012861193,0.5205190679208582,0.4272197378082706,0.20309039313472113
rate_alcohol_involved_per100k,evt_p4,4,0.13698206276255853,0.1816208261946629,-0.21898821542138963,0.4929523409465067,0.4507171195168648,0.20309039313472113
rate_alcohol_involved_per100k,evt_p5,5,0.370751460232821,0.18114635003333304,0.01571113823660225,0.7257917822290398,0.04068796925649719,0.20309039313472113
